"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","4052500","Norman","6075","43493","38180","18513","13559","6155","9148","4552","4222","3275","3263","6075","6404","6674","11469","18946","10203","8496","7058","6588","5835","6442","6136","5935","4497","3295","5767"
"Pop_AgeGroups","4055000","Oklahoma City","48956","172063","222053","111189","74930","18726","22183","26177","24885","21489","19844","48956","46186","43689","37804","44384","52141","50163","42799","40216","36734","38551","39055","33583","25905","18429","30596"
"Pop_AgeGroups","4041850","Lawton","7507","29603","33157","15078","9823","3112","3994","4180","3533","2836","2625","7507","6668","5883","7171","9881","9143","7757","5834","5391","5032","5225","5291","4562","2951","2473","4399"
"Pop_AgeGroups","4147000","Medford","5802","20091","25802","14194","13357","2286","2370","2863","2599","2629","2416","5802","5391","5511","4384","4805","6051","5482","4775","4715","4779","5026","4590","4578","4008","3033","6316"
"Pop_AgeGroups","4164900","Salem","10916","46216","56422","28287","21813","5643","6140","6267","5410","5260","4851","10916","11107","11045","11542","12522","12416","11865","11238","10736","10167","9959","8905","9423","7419","4960","9434"
"Pop_AgeGroups","4123850","Eugene","7699","52386","51124","27634","24292","6575","11518","5681","5281","4898","4478","7699","8360","8011","13044","22971","12428","10898","10280","9045","8473","8851","8782","10001","8764","5519","10009"
"Pop_AgeGroups","4105800","Bend","5358","20787","31339","15728","13955","2176","2813","3234","3615","3225","2824","5358","5721","5462","4764","4840","6431","6768","6009","6112","6019","5157","5056","5515","4664","3421","5870"
"Pop_AgeGroups","4134100","Hillsboro","7552","26311","42439","15880","10214","3181","3218","4878","4491","4055","3547","7552","7014","6614","6200","6483","9151","9980","8673","7390","7245","6022","5611","4247","3824","2508","3882"
"Pop_AgeGroups","4105350","Beaverton","5441","23146","37673","17902","11548","2693","3098","4029","4225","3653","3004","5441","5560","6087","5199","6300","8678","8588","7526","6382","6499","6303","6488","5111","4223","2742","4583"
"Pop_AgeGroups","4131250","Gresham","7413","30628","37980","20274","14041","3405","3779","3347","4570","3851","3079","7413","8008","7735","7358","7527","7560","8405","8454","6344","7217","6660","7259","6355","4909","3274","5858"
"Pop_AgeGroups","4159000","Portland","35240","132729","274290","112470","75602","14953","20052","31582","30890","29286","23184","35240","33744","29181","29964","39840","61426","62863","58144","48226","43631","38573","36657","37240","28336","18121","29145"
"Pop_AgeGroups","4260000","Philadelphia","107736","409925","572830","276159","203007","49904","64459","82138","67053","53595","46662","107736","92906","91417","99860","125742","158342","129531","103299","88805","92853","96222","95596","84341","67043","46409","89555"
"Pop_AgeGroups","4202000","Allentown","9134","37722","40614","18525","14133","5080","5396","5263","4450","3895","3651","9134","9075","8516","9726","10405","9899","8956","7491","7288","6980","6724","6497","5304","4325","2984","6824"
"Pop_AgeGroups","4206088","Bethlehem","4402","21816","23746","13580","11696","3198","4146","2967","2588","2040","2361","4402","3632","3633","6484","8067","6079","5257","4136","4204","4070","4578","4421","4581","3625","2642","5429"
"Pop_AgeGroups","4263624","Reading","7590","30355","29057","12850","8423","3707","3969","3534","3024","2945","2365","7590","8043","6625","7631","8056","7053","5890","5310","5235","5569","5245","3880","3725","3157","1778","3488"
"Pop_AgeGroups","4269000","Scranton","4681","21923","23232","14264","12524","2774","3803","2757","2292","2122","1941","4681","4644","4066","6057","7156","5552","4993","4278","3995","4414","5102","4940","4222","3861","2597","6066"
"Pop_AgeGroups","4261000","Pittsburgh","14900","84614","109112","52991","43395","12257","18344","17785","12096","8414","6839","14900","12208","12784","22552","37070","36792","26587","17609","14035","14089","16851","18145","17995","13141","9629","20625"
"Pop_AgeGroups","4224000","Erie","6573","28000","32084","18505","13808","3636","4174","3915","3241","2840","2494","6573","6035","6274","7306","8385","8599","6708","5508","4955","6314","6499","6527","5479","4307","3123","6378"
"Pop_AgeGroups","4474300","Warwick","4186","15898","26046","19415","15673","1911","1886","2814","2691","2024","2679","4186","3745","3867","4006","4280","5628","5498","4179","5106","5635","6907","6783","5725","5012","3589","7072"
"Pop_AgeGroups","4459000","Providence","11289","61114","63284","26580","17242","8890","11597","9211","6641","5623","5422","11289","11495","10868","16957","21794","17859","13423","11661","10564","9777","9959","9175","7446","5470","3808","7964"
"Pop_AgeGroups","4454640","Pawtucket","4907","17825","26098","14018","8922","1945","2389","3108","2813","2335","2268","4907","4018","4792","4159","4856","6509","5801","4797","4502","4489","5089","4868","4061","2977","2196","3749"
"Pop_AgeGroups","4419180","Cranston","4739","18603","27048","17122","13467","2523","2509","2468","2950","2564","2204","4739","3914","4572","4789","5328","5446","5855","5233","4836","5678","5965","5857","5300","4228","3037","6202"
"Pop_AgeGroups","4548535","Mount Pleasant","4945","18414","29053","15936","12313","2291","1270","3381","2984","2812","3373","4945","5335","5617","4522","2940","6093","5621","5223","6211","5905","5903","4605","5428","4723","2891","4699"
"Pop_AgeGroups","4513330","Charleston","7739","32732","49375","23154","18204","4136","6440","6943","6397","4353","3584","7739","7209","4729","8223","12571","13857","12685","8856","7214","6763","7236","8213","7705","6909","4354","6941"
"Pop_AgeGroups","4550875","North Charleston","7982","30023","40764","18670","10747","2938","4050","5572","4787","4189","2976","7982","8037","6820","6516","8650","11245","9110","7906","6295","6208","7022","6438","5210","4004","2769","3974"
"Pop_AgeGroups","4561405","Rock Hill","4938","21540","24359","11236","8691","3144","3931","2925","2515","2370","2597","4938","4210","4549","5642","7139","5703","4803","4505","5085","4263","3714","3596","3926","2922","1993","3776"
